config,seed,layer,head,head_dim,role,attention_role_score,ablation_accuracy_delta,role_score,specialization
uniform4,1,0,0,32,single_head_ablation_loss_delta,0.08682908117771149,-0.00390625,0.02873271453427151,0.5145720154188591
uniform4,1,0,1,32,single_head_ablation_loss_delta,0.08573804795742035,-0.0078125,0.017411102890037,0.3118141272069898
uniform4,1,0,2,32,single_head_ablation_loss_delta,0.09146441519260406,0.0,0.009694264852441847,0.17361385737415105
uniform4,1,0,3,32,single_head_ablation_loss_delta,0.08678457885980606,0.0,0.0,0.0
uniform4,1,1,0,32,single_head_ablation_loss_delta,0.9452294707298279,-0.001953125,0.055626797722652555,0.14606090074992495
uniform4,1,1,1,32,single_head_ablation_loss_delta,0.9512989521026611,-0.017578125,0.11951673706062138,0.3138185727821881
uniform4,1,1,2,32,single_head_ablation_loss_delta,0.9571182131767273,-0.015625,0.09016985748894513,0.23676161750300495
uniform4,1,1,3,32,single_head_ablation_loss_delta,0.9570136070251465,-0.013671875,0.11553320963867009,0.30335890896488205
uniform4,2,0,0,32,single_head_ablation_loss_delta,0.07559184730052948,0.0,0.0026488768635317683,0.4638427545578662
uniform4,2,0,1,32,single_head_ablation_loss_delta,0.08352018892765045,0.0,0.0005978857516311109,0.10469530606179826
uniform4,2,0,2,32,single_head_ablation_loss_delta,0.07129625976085663,0.0,0.0,0.0
uniform4,2,0,3,32,single_head_ablation_loss_delta,0.08152177184820175,0.0,0.0024639590410515666,0.43146193938033556
uniform4,2,1,0,32,single_head_ablation_loss_delta,0.9396413564682007,-0.001953125,0.044533833337482065,0.13902906267042356
uniform4,2,1,1,32,single_head_ablation_loss_delta,0.980394721031189,-0.025390625,0.1220267717144452,0.3809523326589133
uniform4,2,1,2,32,single_head_ablation_loss_delta,0.954285204410553,-0.021484375,0.11282390024280176,0.352222117927946
uniform4,2,1,3,32,single_head_ablation_loss_delta,0.9408702850341797,-0.001953125,0.04093581106280908,0.12779648674271715
uniform4,3,0,0,32,single_head_ablation_loss_delta,0.08159682154655457,0.0,0.0011919554672203958,0.004289583682535858
uniform4,3,0,1,32,single_head_ablation_loss_delta,0.08358235657215118,0.001953125,0.0,0.0
uniform4,3,0,2,32,single_head_ablation_loss_delta,0.0783231258392334,-0.064453125,0.2550702430889942,0.9179413012857919
uniform4,3,0,3,32,single_head_ablation_loss_delta,0.0842357948422432,-0.001953125,0.021609864430502057,0.0777691150316723
uniform4,3,1,0,32,single_head_ablation_loss_delta,0.961120069026947,-0.01953125,0.13282351760426536,0.3417590277653048
uniform4,3,1,1,32,single_head_ablation_loss_delta,0.9515781402587891,-0.009765625,0.07494872441748157,0.19284539102091744
uniform4,3,1,2,32,single_head_ablation_loss_delta,0.9368538856506348,-0.00390625,0.06196060968795791,0.15942656924500856
uniform4,3,1,3,32,single_head_ablation_loss_delta,0.9576901197433472,-0.01953125,0.11891384614864364,0.3059690119687692
uniform4,4,0,0,32,single_head_ablation_loss_delta,0.08174072206020355,0.0,8.271622937172651e-05,0.0022161614027311352
uniform4,4,0,1,32,single_head_ablation_loss_delta,0.07687725126743317,0.0,0.0,0.0
uniform4,4,0,2,32,single_head_ablation_loss_delta,0.09828685224056244,-0.0078125,0.029771857778541744,0.7976577583087643
uniform4,4,0,3,32,single_head_ablation_loss_delta,0.09019596874713898,-0.001953125,0.0074695257935673,0.20012608028850462
uniform4,4,1,0,32,single_head_ablation_loss_delta,0.9533425569534302,-0.01953125,0.10746548825409263,0.2948919247211792
uniform4,4,1,1,32,single_head_ablation_loss_delta,0.9691583514213562,-0.01171875,0.10690490843262523,0.2933536591328676
uniform4,4,1,2,32,single_head_ablation_loss_delta,0.9405202865600586,-0.01171875,0.06771774345543236,0.18582166265444744
uniform4,4,1,3,32,single_head_ablation_loss_delta,0.9647634029388428,-0.0078125,0.08233515953179449,0.22593275349150577
uniform4,5,0,0,32,single_head_ablation_loss_delta,0.0781397745013237,0.0,0.0011905432329513133,0.05429142325330227
uniform4,5,0,1,32,single_head_ablation_loss_delta,0.08394327759742737,0.0,0.00043333275243639946,0.019760938721832298
uniform4,5,0,2,32,single_head_ablation_loss_delta,0.09032207727432251,-0.001953125,0.016916507214773446,0.7714304090310723
uniform4,5,0,3,32,single_head_ablation_loss_delta,0.08420119434595108,-0.001953125,0.0033883702126331627,0.15451722899379314
uniform4,5,1,0,32,single_head_ablation_loss_delta,0.9464192390441895,-0.005859375,0.05801876826444641,0.20196947053939898
uniform4,5,1,1,32,single_head_ablation_loss_delta,0.9407702684402466,-0.0078125,0.057996141782496125,0.20189070536191644
